OBJECTID,Zip Code,Index Score,Index Quartile,Retail Bldgs 2000,New Retail Bldgs 2000-14,Total Retail Bldgs 2014,Ret Inv 2000 (SF),Ret Inv 2014 (SF),% Change in Retail Bldgs 2000-14,% Change in Retail SF 2000-14,% Chg in Avg Retail Bldg SF 2000-14,Change in Total Acres 2000-14,New MF Projects 2000-14,MF Projects Sold at Least Once between 2000-14, % of New MF Projects Sold at Least Once 2000-14,New MF SF 2000-14,New MF Acres 2000-14,New MF Units 2000-14,New Studios 2000-14,New 1 BR 2000-14,New 2 BR 2000-14,New 3 BR 2000-14,New 4 BR 2000-14,% Studio,% 1BR,% 2BR,% 3BR,% 4BR
89,91342,0.341840752,2,113,8,121,1258318,1357004,0.07080,0.078426916,0.00713,0.27245,11,1,9.09E-02,925954,27.5958,818,0,441,224,90,49,0.0000,0.5485,0.2786,0.1119,0.0609
90,91343,0.340536908,2,97,15,112,828601,1086499,0.15464,0.311245099,0.13563,0.17682,10,1,0.1,507635,7.5432,404,0,74,106,137,37,0.0000,0.2090,0.2994,0.3870,0.1045
98,91402,0.324217164,2,147,7,154,2173951,2286870,0.04762,0.051941833,0.00413,0.06090,14,2,0.142857143,710289,8.4206,632,0,278,187,114,35,0.0000,0.4528,0.3046,0.1857,0.0570
99,91403,0.328417845,2,149,2,151,1410339,1481667,0.01342,0.050575075,0.03670,0.05510,20,4,0.2,668333,9.7309,510,1,182,222,51,15,0.0021,0.3864,0.4713,0.1083,0.0318
100,91405,0.352985865,2,196,6,202,1965923,2011542,0.03061,0.023204876,-0.00719,0.03500,22,4,0.181818182,706191,10.4735,527,15,38,262,103,12,0.0349,0.0884,0.6093,0.2395,0.0279
101,91406,0.350838641,2,123,11,134,1102860,1288773,0.08943,0.168573527,0.07260,0.15588,21,2,9.52E-02,552371,7.8175,499,0,222,188,43,0,0.0000,0.4901,0.4150,0.0949,0.0000
103,91423,0.32303091,2,208,6,214,2087351,2132281,0.02885,0.02152489,-0.00712,0.01380,19,5,0.263157895,634516,7.1302,423,0,72,231,102,1,0.0000,0.1773,0.5690,0.2512,0.0025
108,91604,0.346344528,2,301,5,306,2002225,2030480,0.01661,0.014111801,-0.00246,0.01590,29,10,0.344827586,1094719,12.5394,965,9,321,482,61,4,0.0103,0.3660,0.5496,0.0696,0.0046
111,91607,0.356460377,2,99,3,102,634050,646076,0.03030,0.018966958,-0.01100,0.02740,23,5,0.217391304,1241713,16.6323,996,0,21,787,93,4,0.0000,0.0232,0.8696,0.1028,0.0044
8,90008,0.251250463,1,120,8,128,1707501,1762598,0.06667,0.032267624,-0.03220,0.05280,2,0,0,130351,4.06,70,5,35,30,0,0,0.0714,0.5000,0.4286,0.0000,0.0000
22,90024,0.22227881,1,118,4,122,1418409,1483112,0.03390,0.045616603,0.01130,0.04680,21,2,9.52E-02,2925687,47.2029,2444,615,296,1225,121,7,0.2716,0.1307,0.5411,0.0534,0.0031
55,90067,0.21846303,1,2,1,3,1310200,1326561,0.50000,0.012487407,-0.32501,0.01970,1,0,0,751296,3.7059,140,0,0,0,0,0,,,,,
